k = 100, real = 0.99926474728659442359, imag = -0.03834012037355269409
k = 101, real = 0.99924997055472442042, imag = -0.03872333077593362316
k = 102, real = 0.99923504686459585500, imag = -0.03910653548332988783
k = 103, real = 0.99921997621840352721, imag = -0.03948973443938411793
k = 104, real = 0.99920475861836388631, imag = -0.03987292758773981066
k = 105, real = 0.99918939406671491987, imag = -0.04025611487204128203
k = 106, real = 0.99917388256571637584, imag = -0.04063929623593373619
k = 107, real = 0.99915822411764942945, imag = -0.04102247162306323774
k = 108, real = 0.99914241872481690532, imag = -0.04140564097707673946
k = 109, real = 0.99912646638954338840, imag = -0.04178880424162206147
k = 110, real = 0.99911036711417489098, imag = -0.04217196136034794679
k = 111, real = 0.99909412090107907467, imag = -0.04255511227690401965
k = 112, real = 0.99907772775264536147, imag = -0.04293825693494082024
k = 113, real = 0.99906118767128460068, imag = -0.04332139527810982549
k = 114, real = 0.99904450065942929093, imag = -0.04370452725006342132
k = 115, real = 0.99902766671953369126, imag = -0.04408765279445494428
k = 116, real = 0.99901068585407337697, imag = -0.04447077185493866769
k = 117, real = 0.99899355806554568371, imag = -0.04485388437516981547
k = 118, real = 0.99897628335646981856, imag = -0.04523699029880458994
k = 119, real = 0.99895886172938608283, imag = -0.04562008956950014404
k = 120, real = 0.99894129318685687124, imag = -0.04600318213091462299
k = 121, real = 0.99892357773146578381, imag = -0.04638626792670715732
k = 122, real = 0.99890571536581829193, imag = -0.04676934690053786287
k = 123, real = 0.99888770609254129429, imag = -0.04715241899606786857
k = 124, real = 0.99886954991428356099, imag = -0.04753548415695930257
k = 125, real = 0.99885124683371517840, imag = -0.04791854232687532689
k = 126, real = 0.99883279685352799326, imag = -0.04830159344948014438
k = 127, real = 0.99881419997643539066, imag = -0.04868463746843894324
k = 128, real = 0.99879545620517240501, imag = -0.04906767432741801493
k = 129, real = 0.99877656554249560905, imag = -0.04945070397008466401
k = 130, real = 0.99875752799118333591, imag = -0.04983372634010727747
k = 131, real = 0.99873834355403523499, imag = -0.05021674138115531094
k = 132, real = 0.99871901223387293811, imag = -0.05059974903689928166
k = 133, real = 0.99869953403353928234, imag = -0.05098274925101080324
k = 134, real = 0.99867990895589908718, imag = -0.05136574196716259255
k = 135, real = 0.99866013700383848839, imag = -0.05174872712902845590
k = 136, real = 0.99864021818026527111, imag = -0.05213170468028332366
k = 137, real = 0.99862015248810886980, imag = -0.05251467456460322258
k = 138, real = 0.99859993993032036830, imag = -0.05289763672566532432
k = 139, real = 0.99857958050987249976, imag = -0.05328059110714794544
k = 140, real = 0.99855907422975931365, imag = -0.05366353765273051968
k = 141, real = 0.99853842109299673080, imag = -0.05404647630609366038
k = 142, real = 0.99851762110262221039, imag = -0.05442940701091913275
k = 143, real = 0.99849667426169463891, imag = -0.05481232971088985384
k = 144, real = 0.99847558057329477421, imag = -0.05519524434968993420
k = 145, real = 0.99845434004052480148, imag = -0.05557815087100467788
k = 146, real = 0.99843295266650844422, imag = -0.05596104921852056852
k = 147, real = 0.99841141845439129732, imag = -0.05634393933592529019
k = 148, real = 0.99838973740734016094, imag = -0.05672682116690774823
k = 149, real = 0.99836790952854381764, imag = -0.05710969465515806226
k = 150, real = 0.99834593482121236629, imag = -0.05749255974436756622
k = 151, real = 0.99832381328857755509, imag = -0.05787541637822885693
k = 152, real = 0.99830154493389289261, imag = -0.05825826450043575244
k = 153, real = 0.99827912976043320370, imag = -0.05864110405468334064
k = 154, real = 0.99825656777149518462, imag = -0.05902393498466793065
k = 155, real = 0.99823385897039684789, imag = -0.05940675723408714998
k = 156, real = 0.99821100336047818846, imag = -0.05978957074663986820
k = 157, real = 0.99818800094510029552, imag = -0.06017237546602625942
k = 158, real = 0.99816485172764624068, imag = -0.06055517133594778834
k = 159, real = 0.99814155571152052282, imag = -0.06093795830010720338
k = 160, real = 0.99811811290014917919, imag = -0.06132073630220857829
k = 161, real = 0.99809452329698000739, imag = -0.06170350528595729828
k = 162, real = 0.99807078690548234334, imag = -0.06208626519506008773
k = 163, real = 0.99804690372914683927, imag = -0.06246901597322499639
k = 164, real = 0.99802287377148624081, imag = -0.06285175756416140624
k = 165, real = 0.99799869703603438786, imag = -0.06323448991158006627
k = 166, real = 0.99797437352634699170, imag = -0.06361721295919310626
k = 167, real = 0.99794990324600119092, imag = -0.06399992665071393971
k = 168, real = 0.99792528619859599548, imag = -0.06438263092985746505
k = 169, real = 0.99790052238775162063, imag = -0.06476532574033988521
k = 170, real = 0.99787561181711015301, imag = -0.06514801102587883253
k = 171, real = 0.99785055449033510655, imag = -0.06553068673019332713
k = 172, real = 0.99782535041111164453, imag = -0.06591335279700380467
k = 173, real = 0.99779999958314646857, imag = -0.06629600917003213023
k = 174, real = 0.99777450201016781861, imag = -0.06667865579300155665
k = 175, real = 0.99774885769592569496, imag = -0.06706129260963682170
k = 176, real = 0.99772306664419163624, imag = -0.06744391956366405094
k = 177, real = 0.99769712885875849739, imag = -0.06782653659881086872
